 1.00000E+00 7.00000E+00    2251 2.66667E-03
 temperature   HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
 1.09333E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.04298E-11   3.03038E-11   2.29534E-10   2.57550E-11   3.95967E-11   1.17277E-10   0.00000E+00   4.72282E-26   3.88213E-26   2.94727E-25   3.92268E-26   6.77761E-26   7.20334E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.09600E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.03191E-11   3.01858E-11   2.28549E-10   2.56586E-11   3.94148E-11   1.16846E-10   0.00000E+00   4.73431E-26   3.89084E-26   2.95270E-25   3.93171E-26   6.78802E-26   7.22125E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.09867E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.02089E-11   3.00683E-11   2.27568E-10   2.55627E-11   3.92337E-11   1.16416E-10   0.00000E+00   4.74583E-26   3.89956E-26   2.95814E-25   3.94076E-26   6.79845E-26   7.23919E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.10133E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.00990E-11   2.99512E-11   2.26592E-10   2.54671E-11   3.90534E-11   1.15988E-10   0.00000E+00   4.75737E-26   3.90830E-26   2.96359E-25   3.94983E-26   6.80889E-26   7.25718E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.10400E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.99895E-11   2.98346E-11   2.25620E-10   2.53718E-11   3.88740E-11   1.15562E-10   0.00000E+00   4.76894E-26   3.91706E-26   2.96905E-25   3.95892E-26   6.81935E-26   7.27521E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.10667E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.98804E-11   2.97184E-11   2.24652E-10   2.52769E-11   3.86954E-11   1.15137E-10   0.00000E+00   4.78054E-26   3.92584E-26   2.97452E-25   3.96803E-26   6.82983E-26   7.29328E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.10933E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.97717E-11   2.96027E-11   2.23688E-10   2.51823E-11   3.85176E-11   1.14713E-10   0.00000E+00   4.79216E-26   3.93464E-26   2.97999E-25   3.97715E-26   6.84032E-26   7.31140E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.11200E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.96634E-11   2.94875E-11   2.22728E-10   2.50880E-11   3.83406E-11   1.14291E-10   0.00000E+00   4.80381E-26   3.94347E-26   2.98548E-25   3.98629E-26   6.85083E-26   7.32956E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.11467E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.95555E-11   2.93727E-11   2.21772E-10   2.49941E-11   3.81645E-11   1.13871E-10   0.00000E+00   4.81549E-26   3.95231E-26   2.99098E-25   3.99545E-26   6.86135E-26   7.34776E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.11733E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.94480E-11   2.92583E-11   2.20821E-10   2.49006E-11   3.79891E-11   1.13452E-10   0.00000E+00   4.82719E-26   3.96117E-26   2.99649E-25   4.00463E-26   6.87189E-26   7.36600E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.12000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93408E-11   2.91444E-11   2.19873E-10   2.48073E-11   3.78146E-11   1.13035E-10   0.00000E+00   4.83892E-26   3.97005E-26   3.00201E-25   4.01383E-26   6.88245E-26   7.38428E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.12267E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.92340E-11   2.90309E-11   2.18930E-10   2.47145E-11   3.76408E-11   1.12619E-10   0.00000E+00   4.85067E-26   3.97895E-26   3.00754E-25   4.02305E-26   6.89302E-26   7.40261E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.12533E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.91276E-11   2.89179E-11   2.17991E-10   2.46219E-11   3.74679E-11   1.12204E-10   0.00000E+00   4.86245E-26   3.98787E-26   3.01308E-25   4.03229E-26   6.90361E-26   7.42098E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.12800E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90216E-11   2.88053E-11   2.17055E-10   2.45297E-11   3.72957E-11   1.11792E-10   0.00000E+00   4.87426E-26   3.99681E-26   3.01863E-25   4.04154E-26   6.91422E-26   7.43940E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.13067E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.89159E-11   2.86932E-11   2.16124E-10   2.44378E-11   3.71244E-11   1.11380E-10   0.00000E+00   4.88610E-26   4.00577E-26   3.02419E-25   4.05082E-26   6.92484E-26   7.45785E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.13333E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.88107E-11   2.85815E-11   2.15197E-10   2.43463E-11   3.69538E-11   1.10970E-10   0.00000E+00   4.89796E-26   4.01475E-26   3.02977E-25   4.06011E-26   6.93548E-26   7.47635E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.13600E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.87058E-11   2.84702E-11   2.14273E-10   2.42550E-11   3.67840E-11   1.10562E-10   0.00000E+00   4.90984E-26   4.02375E-26   3.03535E-25   4.06942E-26   6.94613E-26   7.49490E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.13867E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.86012E-11   2.83594E-11   2.13354E-10   2.41642E-11   3.66150E-11   1.10155E-10   0.00000E+00   4.92176E-26   4.03277E-26   3.04094E-25   4.07875E-26   6.95680E-26   7.51348E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.14133E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.84971E-11   2.82489E-11   2.12439E-10   2.40736E-11   3.64468E-11   1.09750E-10   0.00000E+00   4.93370E-26   4.04181E-26   3.04654E-25   4.08810E-26   6.96749E-26   7.53212E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.14400E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.83933E-11   2.81390E-11   2.11527E-10   2.39834E-11   3.62793E-11   1.09346E-10   0.00000E+00   4.94567E-26   4.05087E-26   3.05215E-25   4.09747E-26   6.97819E-26   7.55079E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.14667E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.82899E-11   2.80294E-11   2.10620E-10   2.38935E-11   3.61126E-11   1.08943E-10   0.00000E+00   4.95766E-26   4.05995E-26   3.05777E-25   4.10686E-26   6.98891E-26   7.56951E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.14933E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.81868E-11   2.79203E-11   2.09716E-10   2.38039E-11   3.59467E-11   1.08542E-10   0.00000E+00   4.96969E-26   4.06905E-26   3.06341E-25   4.11626E-26   6.99965E-26   7.58827E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.15200E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.80841E-11   2.78116E-11   2.08816E-10   2.37147E-11   3.57816E-11   1.08143E-10   0.00000E+00   4.98174E-26   4.07818E-26   3.06905E-25   4.12569E-26   7.01040E-26   7.60707E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.15467E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.79818E-11   2.77033E-11   2.07920E-10   2.36257E-11   3.56172E-11   1.07745E-10   0.00000E+00   4.99381E-26   4.08732E-26   3.07470E-25   4.13513E-26   7.02117E-26   7.62592E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.15733E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.78799E-11   2.75954E-11   2.07028E-10   2.35371E-11   3.54535E-11   1.07348E-10   0.00000E+00   5.00592E-26   4.09648E-26   3.08037E-25   4.14460E-26   7.03196E-26   7.64481E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.16000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.77783E-11   2.74880E-11   2.06140E-10   2.34488E-11   3.52906E-11   1.06953E-10   0.00000E+00   5.01805E-26   4.10567E-26   3.08604E-25   4.15408E-26   7.04276E-26   7.66375E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.16267E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.76770E-11   2.73810E-11   2.05255E-10   2.33609E-11   3.51285E-11   1.06559E-10   0.00000E+00   5.03021E-26   4.11487E-26   3.09172E-25   4.16358E-26   7.05358E-26   7.68273E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.16533E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.75762E-11   2.72744E-11   2.04375E-10   2.32732E-11   3.49671E-11   1.06167E-10   0.00000E+00   5.04239E-26   4.12410E-26   3.09742E-25   4.17310E-26   7.06442E-26   7.70176E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.16800E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.74756E-11   2.71682E-11   2.03498E-10   2.31859E-11   3.48064E-11   1.05776E-10   0.00000E+00   5.05461E-26   4.13334E-26   3.10312E-25   4.18264E-26   7.07527E-26   7.72083E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.17067E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.73755E-11   2.70624E-11   2.02624E-10   2.30989E-11   3.46465E-11   1.05386E-10   0.00000E+00   5.06685E-26   4.14261E-26   3.10884E-25   4.19220E-26   7.08614E-26   7.73994E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
