-3.00   7250. 0.00  -0.048   0.065   0.060   0.075   0.115
-3.00   7250. 0.50  -0.048   0.065   0.060   0.075   0.115
-3.00   7250. 1.00  -0.057   0.101   0.059   0.081   0.121
-3.00   7250. 1.50  -0.069   0.117   0.079   0.091   0.129
-3.00   7250. 2.00  -0.085   0.106   0.115   0.106   0.140
-3.00   7250. 2.50  -0.107   0.058   0.162   0.125   0.155
-3.00   7250. 3.00  -0.135  -0.018   0.207   0.147   0.175
-3.00   7250. 3.50  -0.165  -0.102   0.249   0.168   0.192
-3.00   7250. 4.00  -0.194  -0.164   0.270   0.179   0.202
-3.00   7250. 4.50  -0.224  -0.225   0.285   0.188   0.211
-3.00   7250. 5.00  -0.251  -0.286   0.298   0.195   0.220
-3.00   7500. 0.00  -0.059   0.070   0.032   0.059   0.094
-3.00   7500. 0.50  -0.059   0.070   0.032   0.059   0.094
-3.00   7500. 1.00  -0.059   0.070   0.032   0.059   0.094
-3.00   7500. 1.50  -0.067   0.103   0.043   0.065   0.101
-3.00   7500. 2.00  -0.080   0.114   0.068   0.076   0.110
-3.00   7500. 2.50  -0.099   0.097   0.107   0.091   0.123
-3.00   7500. 3.00  -0.122   0.038   0.155   0.111   0.139
-3.00   7500. 3.50  -0.152  -0.049   0.200   0.135   0.159
-3.00   7500. 4.00  -0.182  -0.127   0.235   0.151   0.175
-3.00   7500. 4.50  -0.213  -0.193   0.254   0.162   0.186
-3.00   7500. 5.00  -0.243  -0.259   0.270   0.171   0.196
-3.00   7750. 0.00  -0.069   0.046   0.008   0.041   0.071
-3.00   7750. 0.50  -0.069   0.046   0.008   0.041   0.071
-3.00   7750. 1.00  -0.069   0.046   0.008   0.041   0.071
-3.00   7750. 1.50  -0.076   0.073   0.017   0.046   0.077
-3.00   7750. 2.00  -0.085   0.101   0.036   0.053   0.084
-3.00   7750. 2.50  -0.099   0.108   0.064   0.064   0.094
-3.00   7750. 3.00  -0.119   0.080   0.107   0.080   0.107
-3.00   7750. 3.50  -0.144   0.008   0.154   0.101   0.126
-3.00   7750. 4.00  -0.173  -0.086   0.197   0.124   0.147
-3.00   7750. 4.50  -0.204  -0.158   0.225   0.136   0.161
-3.00   7750. 5.00  -0.236  -0.229   0.244   0.147   0.173
-3.00   8000. 0.00  -0.092   0.009  -0.007   0.029   0.054
-3.00   8000. 0.50  -0.092   0.009  -0.007   0.029   0.054
-3.00   8000. 1.00  -0.092   0.009  -0.007   0.029   0.054
-3.00   8000. 1.50  -0.097   0.030   0.000   0.033   0.059
-3.00   8000. 2.00  -0.100   0.075   0.010   0.036   0.062
-3.00   8000. 2.50  -0.110   0.097   0.034   0.043   0.070
-3.00   8000. 3.00  -0.126   0.096   0.065   0.054   0.081
-3.00   8000. 3.50  -0.146   0.055   0.111   0.071   0.096
-3.00   8000. 4.00  -0.171  -0.030   0.157   0.092   0.117
-3.00   8000. 4.50  -0.198  -0.124   0.195   0.113   0.135
-3.00   8000. 5.00  -0.231  -0.196   0.219   0.124   0.149
-3.00   8250. 0.00  -0.127  -0.043  -0.013   0.023   0.046
-3.00   8250. 0.50  -0.127  -0.043  -0.013   0.023   0.046
-3.00   8250. 1.00  -0.127  -0.043  -0.013   0.023   0.046
-3.00   8250. 1.50  -0.131  -0.027  -0.008   0.026   0.049
-3.00   8250. 2.00  -0.127   0.033  -0.009   0.023   0.047
-3.00   8250. 2.50  -0.131   0.072   0.009   0.027   0.051
-3.00   8250. 3.00  -0.142   0.087   0.037   0.035   0.059
-3.00   8250. 3.50  -0.159   0.077   0.072   0.046   0.071
-3.00   8250. 4.00  -0.177   0.020   0.120   0.064   0.087
-3.00   8250. 4.50  -0.202  -0.077   0.163   0.085   0.109
-3.00   8250. 5.00  -0.230  -0.165   0.194   0.102   0.125
-3.00   8500. 0.00  -0.173  -0.096  -0.011   0.022   0.040
-3.00   8500. 0.50  -0.173  -0.096  -0.011   0.022   0.040
-3.00   8500. 1.00  -0.173  -0.096  -0.011   0.022   0.040
-3.00   8500. 1.50  -0.176  -0.086  -0.008   0.024   0.042
-3.00   8500. 2.00  -0.164  -0.015  -0.022   0.015   0.036
-3.00   8500. 2.50  -0.162   0.036  -0.010   0.016   0.036
-3.00   8500. 3.00  -0.167   0.066   0.014   0.021   0.041
-3.00   8500. 3.50  -0.179   0.072   0.045   0.028   0.052
-3.00   8500. 4.00  -0.195   0.048   0.083   0.040   0.063
-3.00   8500. 4.50  -0.212  -0.028   0.130   0.058   0.082
-3.00   8500. 5.00  -0.236  -0.128   0.169   0.078   0.102
-3.00   8750. 0.00  -0.228  -0.151  -0.009   0.024   0.039
-3.00   8750. 0.50  -0.228  -0.151  -0.009   0.024   0.039
-3.00   8750. 1.00  -0.228  -0.151  -0.009   0.024   0.039
-3.00   8750. 1.50  -0.229  -0.146  -0.007   0.025   0.040
-3.00   8750. 2.00  -0.209  -0.067  -0.030   0.011   0.028
-3.00   8750. 2.50  -0.203  -0.008  -0.026   0.008   0.026
-3.00   8750. 3.00  -0.203   0.033  -0.006   0.010   0.028
-3.00   8750. 3.50  -0.209   0.054   0.022   0.015   0.035
-3.00   8750. 4.00  -0.221   0.048   0.057   0.023   0.045
-3.00   8750. 4.50  -0.234   0.007   0.099   0.035   0.059
-3.00   8750. 5.00  -0.250  -0.087   0.143   0.055   0.077
-3.00   9000. 0.00  -0.285  -0.199  -0.008   0.026   0.037
-3.00   9000. 0.50  -0.285  -0.199  -0.008   0.026   0.037
-3.00   9000. 1.00  -0.285  -0.199  -0.008   0.026   0.037
-3.00   9000. 1.50  -0.285  -0.199  -0.008   0.026   0.037
-3.00   9000. 2.00  -0.259  -0.116  -0.036   0.008   0.023
-3.00   9000. 2.50  -0.249  -0.054  -0.037   0.002   0.018
-3.00   9000. 3.00  -0.245  -0.004  -0.022   0.002   0.018
-3.00   9000. 3.50  -0.246   0.027   0.003   0.004   0.023
-3.00   9000. 4.00  -0.253   0.036   0.036   0.010   0.030
