  9000. 7.5 -0.248 -0.540  0.234  0.112  0.114
  9250. 7.5 -0.262 -0.530  0.227  0.096  0.098
  9500. 7.5 -0.275 -0.520  0.220  0.080  0.083
  9750. 7.5 -0.293 -0.510  0.214  0.065  0.068
 10000. 7.5 -0.311 -0.500  0.208  0.050  0.053
 10250. 7.5 -0.339 -0.495  0.202  0.038  0.039
 10500. 7.5 -0.367 -0.490  0.196  0.025  0.026
 10750. 7.5 -0.404 -0.488  0.189  0.014  0.015
 11000. 7.5 -0.441 -0.487  0.182  0.002  0.004
 11250. 7.5 -0.489 -0.488  0.176 -0.007 -0.005
 11500. 7.5 -0.537 -0.488  0.169 -0.016 -0.014
 11750. 7.5 -0.592 -0.491  0.162 -0.023 -0.021
 12000. 7.5 -0.648 -0.494  0.154 -0.029 -0.027
 12250. 7.5 -0.698 -0.500  0.146 -0.035 -0.033
 12500. 7.5 -0.748 -0.506  0.137 -0.042 -0.039
 12750. 7.5 -0.796 -0.516  0.127 -0.046 -0.045
 13000. 7.5 -0.844 -0.526  0.117 -0.050 -0.050
 13250. 7.5 -0.891 -0.538  0.106 -0.053 -0.054
 13500. 7.5 -0.939 -0.550  0.096 -0.056 -0.058
 13750. 7.5 -0.986 -0.562  0.086 -0.058 -0.061
 14000. 7.5 -1.033 -0.575  0.076 -0.060 -0.065
 14250. 7.5 -1.079 -0.587  0.067 -0.062 -0.068
 14500. 7.5 -1.125 -0.600  0.058 -0.064 -0.072
 14750. 7.5 -1.170 -0.613  0.049 -0.066 -0.075
 15000. 7.5 -1.215 -0.626  0.041 -0.068 -0.078
 15250. 7.5 -1.259 -0.638  0.033 -0.069 -0.080
 15500. 7.5 -1.302 -0.651  0.025 -0.071 -0.083
 15750. 7.5 -1.345 -0.664  0.018 -0.073 -0.086
 16000. 7.5 -1.387 -0.676  0.011 -0.074 -0.088
 16250. 7.5 -1.428 -0.688  0.004 -0.075 -0.090
 16500. 7.5 -1.470 -0.699 -0.002 -0.077 -0.093
 16750. 7.5 -1.510 -0.711 -0.008 -0.079 -0.095
 17000. 7.5 -1.551 -0.722 -0.014 -0.080 -0.097
 17250. 7.5 -1.587 -0.732 -0.019 -0.081 -0.099
 17500. 7.5 -1.623 -0.742 -0.024 -0.082 -0.101
 17750. 7.5 -1.658 -0.752 -0.029 -0.083 -0.103
 18000. 7.5 -1.694 -0.762 -0.034 -0.085 -0.105
 18250. 7.5 -1.730 -0.772 -0.039 -0.086 -0.107
 18500. 7.5 -1.766 -0.783 -0.043 -0.087 -0.109
 18750. 7.5 -1.802 -0.793 -0.048 -0.088 -0.111
 19000. 7.5 -1.838 -0.803 -0.053 -0.089 -0.113
 19250. 7.5 -1.873 -0.813 -0.058 -0.090 -0.115
 19500. 7.5 -1.909 -0.823 -0.063 -0.092 -0.117
 19750. 7.5 -1.945 -0.833 -0.068 -0.093 -0.119
 20000. 7.5 -1.981 -0.843 -0.073 -0.094 -0.121
 25000. 7.5 -2.560 -0.984 -0.146 -0.113 -0.150
 30000. 7.5 -2.979 -1.092 -0.205 -0.127 -0.173
 35000. 7.5 -3.348 -1.159 -0.245 -0.132 -0.183
 40000. 7.5 -3.743 -1.190 -0.266 -0.135 -0.189
 45000. 7.5 -4.120 -1.209 -0.280 -0.137 -0.193
 50000. 7.5 -4.471 -1.222 -0.289 -0.138 -0.196
 55000. 7.5 -4.794 -1.232 -0.297 -0.140 -0.198
 60000. 7.5 -5.093 -1.240 -0.303 -0.141 -0.200
 65000. 7.5 -5.370 -1.246 -0.308 -0.142 -0.202
 70000. 7.5 -5.627 -1.252 -0.313 -0.143 -0.203
 75000. 7.5 -5.866 -1.256 -0.317 -0.144 -0.205
 80000. 7.5 -6.090 -1.261 -0.320 -0.145 -0.206
 85000. 7.5 -6.300 -1.264 -0.324 -0.146 -0.207
 90000. 7.5 -6.498 -1.268 -0.327 -0.146 -0.208
 95000. 7.5 -6.685 -1.271 -0.329 -0.147 -0.209
100000. 7.5 -6.862 -1.274 -0.332 -0.148 -0.210
  1500. 8.0  1.069  1.316  1.750  0.298 -2.539
  1750. 8.0  0.863  1.087  1.599  0.457 -1.664
  2000. 8.0  0.654  0.923  1.519  0.579 -0.955
  2250. 8.0  0.455  0.810  1.447  0.661 -0.371
  2500. 8.0  0.261  0.691  1.366  0.716  0.067
  2750. 8.0  0.085  0.594  1.296  0.744  0.375
  3000. 8.0 -0.069  0.510  1.238  0.755  0.567
  3250. 8.0 -0.191  0.432  1.179  0.742  0.660
  3500. 8.0 -0.285  0.360  1.122  0.718  0.686
  3750. 8.0 -0.355  0.291  1.068  0.688  0.678
  4000. 8.0 -0.396  0.224  1.013  0.654  0.653
  4250. 8.0 -0.401  0.153  0.954  0.617  0.619
  4500. 8.0 -0.375  0.079  0.891  0.577  0.580
  4750. 8.0 -0.326  0.002  0.825  0.535  0.538
  5000. 8.0 -0.271 -0.074  0.758  0.494  0.497
  5250. 8.0 -0.220 -0.147  0.695  0.454  0.457
  5500. 8.0 -0.177 -0.215  0.637  0.417  0.421
  5750. 8.0 -0.155 -0.275  0.586  0.385  0.390
  6000. 8.0 -0.134 -0.335  0.534  0.353  0.359
  6250. 8.0 -0.134 -0.387  0.489  0.326  0.333
  6500. 8.0 -0.133 -0.438  0.445  0.298  0.307
  6750. 8.0 -0.144 -0.476  0.410  0.275  0.285
  7000. 8.0 -0.154 -0.514  0.375  0.252  0.262
  7250. 8.0 -0.168 -0.538  0.349  0.233  0.243
  7500. 8.0 -0.182 -0.562  0.322  0.214  0.223
  7750. 8.0 -0.197 -0.576  0.303  0.197  0.205
  8000. 8.0 -0.212 -0.590  0.283  0.180  0.187
  8250. 8.0 -0.226 -0.595  0.270  0.164  0.171
  8500. 8.0 -0.240 -0.601  0.256  0.149  0.154
  8750. 8.0 -0.254 -0.601  0.247  0.134  0.139
  9000. 8.0 -0.268 -0.601  0.237  0.119  0.123
  9250. 8.0 -0.282 -0.597  0.231  0.104  0.108
  9500. 8.0 -0.297 -0.594  0.225  0.089  0.093
  9750. 8.0 -0.314 -0.589  0.220  0.075  0.079
 10000. 8.0 -0.331 -0.584  0.216  0.061  0.065
 10250. 8.0 -0.354 -0.581  0.212  0.048  0.052
 10500. 8.0 -0.378 -0.578  0.207  0.035  0.039
 10750. 8.0 -0.410 -0.578  0.202  0.024  0.028
 11000. 8.0 -0.443 -0.578  0.197  0.013  0.017
 11250. 8.0 -0.482 -0.581  0.192  0.003  0.008
 11500. 8.0 -0.521 -0.583  0.187 -0.006 -0.002
 11750. 8.0 -0.567 -0.586  0.182 -0.014 -0.010
 12000. 8.0 -0.614 -0.589  0.177 -0.022 -0.018
 12250. 8.0 -0.668 -0.593  0.171 -0.029 -0.024
 12500. 8.0 -0.721 -0.597  0.166 -0.035 -0.031
 12750. 8.0 -0.775 -0.601  0.160 -0.040 -0.036
 13000. 8.0 -0.828 -0.605  0.153 -0.045 -0.041
 13250. 8.0 -0.877 -0.612  0.145 -0.050 -0.046
 13500. 8.0 -0.925 -0.619  0.137 -0.054 -0.051
 13750. 8.0 -0.972 -0.627  0.128 -0.058 -0.056
 14000. 8.0 -1.018 -0.636  0.119 -0.061 -0.060
 14250. 8.0 -1.063 -0.646  0.110 -0.064 -0.064
 14500. 8.0 -1.108 -0.656  0.101 -0.066 -0.068
 14750. 8.0 -1.153 -0.666  0.092 -0.068 -0.071
 15000. 8.0 -1.198 -0.677  0.083 -0.070 -0.074
 15250. 8.0 -1.241 -0.688  0.074 -0.072 -0.077
 15500. 8.0 -1.285 -0.698  0.066 -0.074 -0.080
 15750. 8.0 -1.327 -0.709  0.058 -0.075 -0.083
 16000. 8.0 -1.370 -0.720  0.050 -0.077 -0.086
 16250. 8.0 -1.410 -0.731  0.042 -0.079 -0.089
 16500. 8.0 -1.449 -0.742  0.034 -0.080 -0.091
 16750. 8.0 -1.489 -0.752  0.027 -0.081 -0.094
 17000. 8.0 -1.529 -0.763  0.020 -0.083 -0.096
 17250. 8.0 -1.566 -0.772  0.015 -0.084 -0.098
 17500. 8.0 -1.602 -0.781  0.009 -0.085 -0.100
 17750. 8.0 -1.638 -0.791  0.004 -0.086 -0.102
 18000. 8.0 -1.675 -0.800 -0.001 -0.088 -0.104
 18250. 8.0 -1.712 -0.809 -0.007 -0.089 -0.106
 18500. 8.0 -1.748 -0.818 -0.012 -0.090 -0.108
 18750. 8.0 -1.785 -0.827 -0.017 -0.091 -0.109
 19000. 8.0 -1.821 -0.836 -0.023 -0.092 -0.111
 19250. 8.0 -1.858 -0.845 -0.028 -0.094 -0.113
 19500. 8.0 -1.894 -0.855 -0.033 -0.095 -0.115
 19750. 8.0 -1.931 -0.864 -0.039 -0.096 -0.117
 20000. 8.0 -1.967 -0.873 -0.044 -0.097 -0.119
 25000. 8.0 -2.546 -1.008 -0.125 -0.116 -0.149
 30000. 8.0 -2.966 -1.109 -0.191 -0.129 -0.172
 35000. 8.0 -3.343 -1.169 -0.235 -0.133 -0.182
 40000. 8.0 -3.742 -1.198 -0.258 -0.136 -0.188
 45000. 8.0 -4.121 -1.215 -0.273 -0.138 -0.192
 50000. 8.0 -4.473 -1.227 -0.284 -0.139 -0.195
 55000. 8.0 -4.799 -1.236 -0.292 -0.141 -0.198
 60000. 8.0 -5.099 -1.243 -0.299 -0.142 -0.199
 65000. 8.0 -5.376 -1.249 -0.304 -0.143 -0.201
 70000. 8.0 -5.634 -1.254 -0.309 -0.144 -0.203
 75000. 8.0 -5.875 -1.259 -0.313 -0.145 -0.204
 80000. 8.0 -6.101 -1.263 -0.317 -0.145 -0.205
 85000. 8.0 -6.312 -1.266 -0.321 -0.146 -0.207
 90000. 8.0 -6.511 -1.269 -0.324 -0.147 -0.208
 95000. 8.0 -6.699 -1.272 -0.326 -0.147 -0.209
100000. 8.0 -6.878 -1.275 -0.329 -0.148 -0.210
  1500. 8.5  1.151  1.210  1.636  0.179 -2.982
  1750. 8.5  0.931  0.995  1.566  0.380 -1.958
  2000. 8.5  0.737  0.854  1.460  0.500 -1.158
  2250. 8.5  0.513  0.714  1.374  0.610 -0.502
  2500. 8.5  0.328  0.618  1.312  0.673 -0.050
  2750. 8.5  0.158  0.534  1.256  0.711  0.279
  3000. 8.5  0.006  0.465  1.203  0.725  0.499
  3250. 8.5 -0.117  0.394  1.150  0.719  0.613
  3500. 8.5 -0.214  0.327  1.098  0.700  0.656
  3750. 8.5 -0.286  0.262  1.046  0.672  0.657
  4000. 8.5 -0.334  0.199  0.993  0.641  0.638
  4250. 8.5 -0.351  0.134  0.938  0.607  0.608
  4500. 8.5 -0.343  0.066  0.880  0.570  0.573
  4750. 8.5 -0.310 -0.004  0.819  0.532  0.534
  5000. 8.5 -0.262 -0.078  0.755  0.492  0.494
  5250. 8.5 -0.216 -0.149  0.694  0.454  0.456
  5500. 8.5 -0.179 -0.215  0.637  0.418  0.421
