 0.00000E+00 9.00000E+00    2251 4.00000E-03
 LogT          HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               cen92         cen92         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         cen92         cen92         cen92         cen92         
 1.16000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.77362E-10   1.26589E-10   1.10945E-09   9.82831E-11   2.14121E-10   4.48111E-10   0.00000E+00   3.75220E-26   1.70859E-26   1.50088E-25   1.58205E-26   3.86138E-26   2.84909E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.20000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.75579E-10   1.25851E-10   1.10232E-09   9.77448E-11   2.12647E-10   4.45672E-10   0.00000E+00   3.76258E-26   1.71433E-26   1.50503E-25   1.58805E-26   3.87029E-26   2.86008E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.24000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.73808E-10   1.25116E-10   1.09523E-09   9.72094E-11   2.11183E-10   4.43246E-10   0.00000E+00   3.77299E-26   1.72010E-26   1.50920E-25   1.59407E-26   3.87921E-26   2.87112E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.28000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.72048E-10   1.24386E-10   1.08819E-09   9.66769E-11   2.09729E-10   4.40834E-10   0.00000E+00   3.78343E-26   1.72589E-26   1.51337E-25   1.60011E-26   3.88815E-26   2.88219E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.32000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.70300E-10   1.23661E-10   1.08120E-09   9.61473E-11   2.08286E-10   4.38434E-10   0.00000E+00   3.79390E-26   1.73170E-26   1.51756E-25   1.60618E-26   3.89711E-26   2.89331E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.36000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.68562E-10   1.22939E-10   1.07425E-09   9.56206E-11   2.06852E-10   4.36048E-10   0.00000E+00   3.80439E-26   1.73752E-26   1.52176E-25   1.61226E-26   3.90610E-26   2.90447E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.40000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.66836E-10   1.22222E-10   1.06735E-09   9.50967E-11   2.05428E-10   4.33674E-10   0.00000E+00   3.81492E-26   1.74337E-26   1.52597E-25   1.61837E-26   3.91510E-26   2.91567E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.44000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.65121E-10   1.21509E-10   1.06049E-09   9.45757E-11   2.04014E-10   4.31314E-10   0.00000E+00   3.82547E-26   1.74924E-26   1.53019E-25   1.62450E-26   3.92413E-26   2.92692E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.48000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.63417E-10   1.20800E-10   1.05367E-09   9.40575E-11   2.02609E-10   4.28966E-10   0.00000E+00   3.83605E-26   1.75512E-26   1.53442E-25   1.63066E-26   3.93317E-26   2.93820E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.52000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.61724E-10   1.20095E-10   1.04690E-09   9.35421E-11   2.01215E-10   4.26630E-10   0.00000E+00   3.84666E-26   1.76103E-26   1.53867E-25   1.63684E-26   3.94224E-26   2.94953E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
