  -0.546   1.018   1.104   0.659   0.562
  -0.587   1.088   1.134   0.682   0.573
  -0.626   1.176   1.169   0.701   0.582
  -0.661   1.282   1.209   0.714   0.587
  -0.019   0.774   1.294   0.395   0.368
  -0.043   0.680   1.150   0.391   0.376
  -0.064   0.607   1.035   0.391   0.384
  -0.083   0.554   0.946   0.395   0.392
  -0.098   0.522   0.888   0.402   0.399
  -0.112   0.512   0.850   0.413   0.407
  -0.135   0.518   0.838   0.432   0.415
  -0.178   0.535   0.853   0.458   0.426
  -0.232   0.568   0.883   0.487   0.439
  -0.281   0.630   0.919   0.517   0.451
  -0.321   0.715   0.963   0.538   0.459
  -0.356   0.824   1.015   0.556   0.465
  -0.384   0.956   1.076   0.567   0.467
   0.238   0.583   0.839   0.259   0.300
   0.199   0.508   0.781   0.269   0.306
   0.159   0.441   0.733   0.280   0.313
   0.121   0.384   0.697   0.293   0.320
   0.082   0.334   0.670   0.307   0.328
   0.045   0.297   0.657   0.322   0.337
   0.007   0.274   0.660   0.341   0.345
  -0.036   0.264   0.680   0.361   0.354
  -0.083   0.272   0.708   0.383   0.364
  -0.125   0.301   0.741   0.407   0.374
  -0.157   0.350   0.784   0.428   0.381
  -0.182   0.420   0.834   0.447   0.387
  -0.199   0.510   0.893   0.464   0.391
   0.369   0.440   0.398   0.149   0.243
   0.325   0.394   0.422   0.170   0.245
   0.277   0.345   0.440   0.191   0.250
   0.229   0.295   0.455   0.211   0.256
   0.177   0.239   0.462   0.231   0.265
   0.125   0.187   0.473   0.251   0.275
   0.077   0.142   0.491   0.270   0.284
   0.032   0.108   0.516   0.288   0.293
  -0.011   0.087   0.545   0.306   0.302
  -0.050   0.081   0.577   0.326   0.310
  -0.079   0.093   0.615   0.346   0.318
  -0.101   0.121   0.659   0.367   0.324
  -0.115   0.165   0.708   0.388   0.329
   0.353   0.309   0.111   0.075   0.196
   0.320   0.306   0.170   0.099   0.195
   0.283   0.289   0.220   0.122   0.196
   0.242   0.261   0.263   0.145   0.200
   0.197   0.217   0.296   0.167   0.206
   0.150   0.167   0.326   0.188   0.215
   0.104   0.114   0.356   0.208   0.224
   0.060   0.063   0.385   0.226   0.235
   0.017   0.019   0.415   0.244   0.245
  -0.022  -0.017   0.445   0.262   0.255
  -0.056  -0.043   0.477   0.280   0.264
  -0.085  -0.059   0.510   0.299   0.273
  -0.108  -0.065   0.544   0.317   0.282
   0.297   0.190   0.046   0.033   0.153
   0.272   0.237   0.067   0.049   0.154
   0.245   0.263   0.095   0.067   0.155
   0.216   0.269   0.128   0.085   0.157
   0.186   0.252   0.171   0.107   0.159
   0.151   0.216   0.214   0.128   0.163
   0.114   0.167   0.252   0.149   0.171
   0.074   0.110   0.287   0.169   0.181
   0.033   0.050   0.318   0.189   0.192
  -0.006  -0.009   0.347   0.206   0.203
  -0.043  -0.066   0.376   0.223   0.217
  -0.079  -0.122   0.403   0.237   0.233
  -0.112  -0.177   0.430   0.251   0.250
   0.234   0.039   0.122   0.040   0.114
   0.218   0.134   0.064   0.032   0.119
   0.201   0.202   0.037   0.033   0.122
   0.182   0.246   0.033   0.040   0.124
   0.163   0.262   0.069   0.057   0.123
   0.139   0.254   0.111   0.076   0.123
   0.112   0.224   0.155   0.096   0.127
   0.079   0.175   0.197   0.117   0.134
   0.043   0.114   0.235   0.137   0.143
   0.004   0.045   0.268   0.156   0.155
  -0.033  -0.032   0.301   0.174   0.171
  -0.071  -0.116   0.333   0.191   0.190
  -0.109  -0.209   0.364   0.207   0.213
   0.093  -0.222   0.253   0.112   0.087
   0.113  -0.063   0.114   0.063   0.094
   0.123   0.058   0.027   0.033   0.097
   0.126   0.146  -0.020   0.018   0.098
   0.118   0.194  -0.004   0.024   0.095
   0.104   0.216   0.029   0.038   0.092
   0.085   0.215   0.069   0.054   0.092
   0.062   0.191   0.113   0.072   0.096
   0.034   0.146   0.158   0.090   0.101
   0.002   0.082   0.197   0.110   0.110
  -0.032  -0.002   0.238   0.132   0.123
  -0.067  -0.104   0.278   0.155   0.139
  -0.105  -0.226   0.319   0.179   0.160
  -0.144  -0.571   0.380   0.227   0.080
  -0.062  -0.325   0.182   0.128   0.080
  -0.005  -0.137   0.048   0.059   0.078
   0.031   0.002  -0.035   0.016   0.076
   0.038   0.074  -0.042   0.009   0.071
   0.033   0.117  -0.023   0.015   0.067
   0.024   0.142   0.007   0.026   0.064
   0.011   0.147   0.045   0.037   0.064
  -0.006   0.128   0.088   0.051   0.066
  -0.027   0.084   0.130   0.068   0.070
  -0.052   0.013   0.176   0.088   0.077
  -0.080  -0.083   0.225   0.111   0.086
  -0.112  -0.206   0.276   0.137   0.099
  -0.380  -0.871   0.450   0.314   0.081
  -0.249  -0.554   0.227   0.181   0.071
  -0.156  -0.314   0.070   0.087   0.062
  -0.092  -0.136  -0.032   0.024   0.054
  -0.071  -0.046  -0.056   0.006   0.049
  -0.068   0.008  -0.051   0.004   0.044
