 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   15.1734    4.0000   15.1114   15.0373    4.9531    2.2753    3.8639    4.9877  1.0000E-10     -0.0382  5.5537E+00
   15.1877    4.0000   15.1114   15.0341    4.9542    2.3068    3.8484    5.0037  1.0000E-10     -0.0382  4.7920E+00
   15.2019    4.0000   15.1114   15.0306    4.9552    2.3392    3.8325    5.0197  1.0000E-10     -0.0382  4.1141E+00
   15.2161    4.0000   15.1114   15.0269    4.9563    2.3724    3.8161    5.0357  1.0000E-10     -0.0382  3.5138E+00
   15.2303    4.0000   15.1114   15.0228    4.9574    2.4066    3.7993    5.0517  1.0000E-10     -0.0382  2.9850E+00
   15.2446    4.0000   15.1114   15.0185    4.9584    2.4417    3.7820    5.0677  1.0000E-10     -0.0382  2.5215E+00
   15.2588    4.0000   15.1114   15.0137    4.9595    2.4778    3.7643    5.0837  1.0000E-10     -0.0382  2.1176E+00
   15.2730    4.0000   15.1114   15.0085    4.9605    2.5147    3.7460    5.0997  1.0000E-10     -0.0382  1.7675E+00
   15.2872    4.0000   15.1114   15.0028    4.9616    2.5527    3.7273    5.1157  1.0000E-10     -0.0382  1.4658E+00
   15.3015    4.0000   15.1114   14.9966    4.9626    2.5916    3.7081    5.1317  1.0000E-10     -0.0382  1.2073E+00
   15.3157    4.0000   15.1114   14.9899    4.9637    2.6315    3.6885    5.1477  1.0000E-10     -0.0382  9.8720E-01
   15.3299    4.0000   15.1114   14.9824    4.9648    2.6724    3.6683    5.1638  1.0000E-10     -0.0382  8.0106E-01
   15.3439    4.0000   15.1114   14.9743    4.9658    2.7134    3.6480    5.1794  1.0000E-10     -0.0382  6.4745E-01
   15.3575    4.0000   15.1114   14.9656    4.9668    2.7546    3.6277    5.1948  1.0000E-10     -0.0382  5.2143E-01
   15.3709    4.0000   15.1114   14.9562    4.9678    2.7957    3.6074    5.2098  1.0000E-10     -0.0382  4.1831E-01
