#       RADIUS          VC_TOT      PSIMAJ_TOT            PSI2
#
   8.4499998       3.4305472      -22.110369     -0.17618765    
   8.4750004       3.4300973      -22.075645     -0.17538829    
   8.5000000       3.4296145      -22.040924     -0.17458895    
   8.5250006       3.4291487      -22.006416     -0.17379415    
   8.5500002       3.4286504      -21.971910     -0.17299934    
   8.5749998       3.4281688      -21.937622     -0.17221290    
   8.6000004       3.4276555      -21.903334     -0.17142648    
   8.6250000       3.4271591      -21.869257     -0.17064619    
   8.6500006       3.4266312      -21.835182     -0.16986594    
   8.6750002       3.4261205      -21.801323     -0.16909300    
   8.6999998       3.4255781      -21.767464     -0.16832006    
   8.7250004       3.4250534      -21.733810     -0.16755624    
   8.7500000       3.4244969      -21.700157     -0.16679244    
   8.7750006       3.4239583      -21.666714     -0.16603060    
   8.8000002       3.4233882      -21.633268     -0.16526878    
   8.8249998       3.4228358      -21.600033     -0.16451898    
   8.8500004       3.4222527      -21.566797     -0.16376917    
   8.8750000       3.4216874      -21.533766     -0.16302265    
   8.9000006       3.4210913      -21.500732     -0.16227615    
   8.9250002       3.4205134      -21.467905     -0.16153653    
   8.9499998       3.4199052      -21.435076     -0.16079694    
   8.9750004       3.4193153      -21.402443     -0.16006355    
   9.0000000       3.4186952      -21.369816     -0.15933016    
   9.0250006       3.4180930      -21.337389     -0.15860388    
   9.0500002       3.4174612      -21.304958     -0.15787761    
   9.0749998       3.4168854      -21.272810     -0.15716383    
   9.1000004       3.4162955      -21.240698     -0.15645006    
   9.1250000       3.4157236      -21.208780     -0.15574868    
   9.1500006       3.4151225      -21.176865     -0.15504727    
   9.1750002       3.4145393      -21.145142     -0.15435487    
   9.1999998       3.4139278      -21.113419     -0.15366250    
   9.2250004       3.4133341      -21.081888     -0.15296930    
   9.2500000       3.4127116      -21.050358     -0.15227608    
   9.2750006       3.4121077      -21.019016     -0.15159437    
   9.3000002       3.4114752      -20.987675     -0.15091263    
   9.3249998       3.4108608      -20.956522     -0.15023296    
   9.3500004       3.4102190      -20.925371     -0.14955330    
   9.3750000       3.4095953      -20.894407     -0.14887774    
   9.4000006       3.4089441      -20.863438     -0.14820218    
   9.4250002       3.4083116      -20.832663     -0.14753178    
   9.4499998       3.4076517      -20.801882     -0.14686134    
   9.4750004       3.4070106      -20.771284     -0.14619458    
   9.5000000       3.4063420      -20.740688     -0.14552779    
   9.5250006       3.4056926      -20.710272     -0.14486828    
   9.5500002       3.4050157      -20.679857     -0.14420880    
   9.5749998       3.4043581      -20.649622     -0.14355209    
   9.6000004       3.4036736      -20.619389     -0.14289536    
   9.6250000       3.4030089      -20.589333     -0.14224169    
   9.6500006       3.4023175      -20.559273     -0.14158802    
   9.6750002       3.4016457      -20.529398     -0.14094026    
   9.6999998       3.4009473      -20.499519     -0.14029251    
   9.7250004       3.4002688      -20.469814     -0.13964663    
   9.7500000       3.3995640      -20.440111     -0.13900071    
   9.7750006       3.3988798      -20.410580     -0.13836053    
   9.8000002       3.3981690      -20.381050     -0.13772035    
   9.8249998       3.3974786      -20.351690     -0.13708474    
   9.8500004       3.3967624      -20.322334     -0.13644914    
   9.8750000       3.3960669      -20.293148     -0.13581638    
   9.9000006       3.3953452      -20.263960     -0.13518359    
   9.9250002       3.3946450      -20.234941     -0.13455388    
   9.9499998       3.3939190      -20.205921     -0.13392417    
   9.9750004       3.3932142      -20.177073     -0.13329810    
   10.000000       3.3924842      -20.148220     -0.13267201    
   10.025001       3.3917749      -20.119535     -0.13204923    
   10.050000       3.3910408      -20.090851     -0.13142644    
   10.075000       3.3903279      -20.062328     -0.13080597    
